employee_id,first_name,last_name,email,specialty,department,hire_date,fte,base_salary,compensation_model,clinical_fte,non_clinical_fte,clinical_salary,non_clinical_salary
EMP11109,William,Johnson,william.johnson@healthsystem.org,Cardiology,Cardiology,9/20/2020,1,399265,Base Pay,1,0,399265,0
EMP11110,Joseph,Moore,joseph.moore@healthsystem.org,Internal Medicine,Internal Medicine,6/13/2016,1,282919,Base Pay,1,0,282919,0
EMP11111,David,Rodriguez,david.rodriguez@healthsystem.org,Radiology,Radiology,5/24/2017,1,330234,Base Pay,1,0,330234,0
EMP11112,Emily,Brown,emily.brown@healthsystem.org,Radiology,Radiology,4/27/2016,0.5,354776,Base Pay,0.5,0,354776,0
EMP11113,Robert,Hernandez,robert.hernandez@healthsystem.org,General Surgery,General Surgery,6/8/2024,1,290229,Base Pay,1,0,290229,0
EMP11114,Matthew,Miller,matthew.miller@healthsystem.org,Dermatology,Dermatology,10/7/2018,1,325384,Base Pay,1,0,325384,0
EMP11115,Alex,Miller,david.martinez@healthsystem.org,Internal Medicine,Internal Medicine,6/25/2015,1,217611,Base Pay,0.85,0.15,184969.35,32641.65
EMP11116,Jordan,Moore,sarah.martinez@healthsystem.org,Hematology and Oncology,Hematology and Oncology,6/2/2016,1,362218,Base Pay,0.8,0.2,289774.4,72443.6
EMP11117,Michael,Miller,michael.miller@healthsystem.org,Cardiology,Cardiology,6/21/2022,1,260626,Base Pay,1,0,260626,0
EMP11118,William,Davis,william.davis@healthsystem.org,Internal Medicine,Internal Medicine,9/14/2023,1,225179,Base Pay,1,0,225179,0
EMP11119,Michael,Davis,michael.davis@healthsystem.org,Endocrinology,Endocrinology,7/14/2023,1,309770,Base Pay,1,0,309770,0
EMP11120,Joseph,Hernandez,joseph.hernandez@healthsystem.org,Radiology,Radiology,10/13/2018,1,378994,Base Pay,1,0,378994,0
EMP0121,Bailey,Johnson,david.moore@healthsystem.org,Critical Care Medicine - Cardiology,Critical Care Medicine,1/10/2024,1,270666,Base Pay,0.85,0.15,230066.1,40599.9
EMP0122,Elizabeth,Johnson,elizabeth.johnson@healthsystem.org,Critical Care Medicine,Critical Care Medicine,1/19/2023,1,312841,Base Pay,1,0,312841,0
EMP0123,Reese,Miller,emily.davis@healthsystem.org,Radiology - Interventional,Radiology - Interventional,11/25/2019,1,378030,Base Pay,0.9,0.1,340227,37803
EMP0124,Jessica,Thomas,jessica.thomas@healthsystem.org,Anesthesiology,Anesthesiology,9/12/2020,0.5,280321,Base Pay,0.5,0,280321,0
EMP0125,Jessica,Taylor,jessica.taylor@healthsystem.org,General,General,10/17/2022,1,348209,Base Pay,1,0,348209,0
EMP0126,Michael,Smith,michael.smith@healthsystem.org,Infectious Disease,Infectious Disease,8/3/2021,1,302187,Base Pay,1,0,302187,0
EMP0127,Joseph,Miller,joseph.miller@healthsystem.org,Ophthalmology,Ophthalmology,3/19/2017,0.75,336097,Base Pay,0.75,0,336097,0
EMP0128,Sarah,Rodriguez,sarah.rodriguez@healthsystem.org,Pathology,Pathology,4/10/2024,1,298117,Base Pay,1,0,298117,0
EMP0129,James,Jones,james.jones@healthsystem.org,Gastroenterology,Gastroenterology,11/25/2018,1,249195,Base Pay,1,0,249195,0
EMP0130,David,Rodriguez,david.rodriguez@healthsystem.org,Plastic and Reconstructive Surgery,Plastic and Reconstructive Surgery,8/24/2016,0.75,287711,Base Pay,0.75,0,287711,0
EMP0131,Michael,Brown,michael.brown@healthsystem.org,Genetics,Genetics,7/3/2017,1,298229,Base Pay,1,0,298229,0
EMP0132,Michael,Martinez,michael.martinez@healthsystem.org,Neurology,Neurology,9/14/2015,1,338723,Base Pay,1,0,338723,0
EMP0133,Emily,Moore,emily.moore@healthsystem.org,Emergency Medicine,Emergency Medicine,7/20/2024,1,261578,Base Pay,1,0,261578,0
EMP0134,James,Hernandez,james.hernandez@healthsystem.org,Neurological Surgery,Neurological Surgery,7/19/2018,1,206569,Base Pay,1,0,206569,0
EMP0135,Robert,Hernandez,robert.hernandez@healthsystem.org,Gynecology,Gynecology,2/12/2020,1,224012,Base Pay,1,0,224012,0
EMP0136,Sarah,Martinez,sarah.martinez@healthsystem.org,Bone Marrow Transplant,Bone Marrow Transplant,2/10/2015,1,330591,Base Pay,1,0,330591,0
EMP0137,James,Anderson,james.anderson@healthsystem.org,Allergy and Immunology,Allergy and Immunology,10/25/2020,1,335304,Base Pay,1,0,335304,0
EMP0138,Bailey,Moore,linda.smith@healthsystem.org,Developmental-Behavioral Medicine,Developmental-Behavioral Medicine,2/17/2019,1,380073,Base Pay,0.9,0.1,342065.7,38007.3
EMP0139,Michael,Martinez,michael.martinez@healthsystem.org,Hospitalist,Hospitalist,1/24/2023,0.9,370438,Base Pay,0.9,0,370438,0
EMP0140,Bailey,Wilson,michael.thomas@healthsystem.org,Rheumatology,Rheumatology,1/25/2024,1,377960,Base Pay,0.85,0.15,321266,56694
EMP0141,William,Miller,william.miller@healthsystem.org,Urology,Urology,5/19/2019,1,396077,Base Pay,1,0,396077,0
EMP0142,Riley,Davis,joseph.thomas@healthsystem.org,Physical Medicine and Rehabilitation,Physical Medicine and Rehabilitation,8/15/2024,1,256748,Base Pay,0.8,0.2,205398.4,51349.6
EMP0143,Joseph,Taylor,joseph.taylor@healthsystem.org,Neonatal-Perinatal Medicine,Neonatal-Perinatal Medicine,4/6/2015,1,240651,Base Pay,1,0,240651,0
EMP0144,Emily,Miller,emily.miller@healthsystem.org,Sports Medicine - Medical,Sports Medicine ,10/1/2022,0.5,292848,Base Pay,0.5,0,292848,0
EMP0145,James,Taylor,james.taylor@healthsystem.org,Adolescent Medicine,Adolescent Medicine,3/21/2015,0.5,221347,Base Pay,0.5,0,221347,0
EMP0146,Matthew,Davis,matthew.davis@healthsystem.org,Pulmonology,Pulmonology,12/26/2018,0.8,330316,Base Pay,0.8,0,330316,0
